,filename,transcription,filepath
0,tem_07220_01981175708,దీనిని తటస్థీకరణము అందురు,end_to_end\tem_07220_01981175708.wav
1,tem_06359_01516502961,దీనిని స్కోరుగా అనువదిస్తారు,end_to_end\tem_06359_01516502961.wav
2,tem_02812_01868000938,రెండంతస్తుల భవనాలు పూర్తిగా నీట మునిగాయి,end_to_end\tem_02812_01868000938.wav
3,tem_08680_00300488472,పిన్ కోడ్ అయిదు లక్షలు అయిదు వేలు అయిదు వందలు ముప్పై ఒకటి,end_to_end\tem_08680_00300488472.wav
4,tem_02769_01899577322,ద్రవరూపంలోని మలినాలు తేమ వంటివి,end_to_end\tem_02769_01899577322.wav
5,tem_02812_01823000984,ఆంధ్రప్రదేశ్ రాష్ట్ర మాజీ ముఖ్యమంత్రి నందమూరి తారక రామారావు రెండవ భార్య నందమూరి లక్ష్మీపార్వతి,end_to_end\tem_02812_01823000984.wav
6,tem_04272_00085680040,ఊరిలో గల ముఖ్యమైన దేవాలయాలు వెంకటేశ్వర దేవాలయం మరియూ శివాలయం,end_to_end\tem_04272_00085680040.wav
7,tem_00682_01850053901,ఏమయ్య ఓ సంఘపోల్లు ఎక్కడ చూస్తే ఏమీ లేదు,end_to_end\tem_00682_01850053901.wav
8,tem_02812_01751042579,సావిత్రి కూడా నారదునికి నమస్కరించింది,end_to_end\tem_02812_01751042579.wav
9,tem_02812_00139977145,మేము దాన్ని కెలక్కూడదని ఇలా జరిగిందేమో,end_to_end\tem_02812_00139977145.wav
10,tem_09525_01277785783,మరియు యూరోప్ యాత్ర చేపడతానని చెప్పింది\n,end_to_end\tem_09525_01277785783.wav
11,tem_07220_01099248016,ఇక్కడ బౌద్ధమత సంస్కృతి ఎక్కువగా ఉంది,end_to_end\tem_07220_01099248016.wav
12,tem_07220_00848795094,అంతే కాక ఈ గ్రామంలో రామాలయం కలదు,end_to_end\tem_07220_00848795094.wav
13,tem_05425_00730751448,ఇంకనూ ఏదైనా సందేహం వస్తే ఖచ్చితంగా చర్చా పేజీలో వ్రాయండి,end_to_end\tem_05425_00730751448.wav
14,tem_03338_02137607119,ఇది నమ్మకానికి సంభందించిన సమస్య అంది,end_to_end\tem_03338_02137607119.wav
15,tem_00974_01661176726,అజ్మీర్ పట్టణం జిల్లాకేంద్రంగా ఉంది,end_to_end\tem_00974_01661176726.wav
16,tem_02812_01982547170,మద్రాసు నుండి వెలువడిన పత్రిక,end_to_end\tem_02812_01982547170.wav
17,tem_04272_00428634734,ఈ సినిమాకు మాటలు రాసింది మరో జ్ఞానపీఠ గ్రహీత నారాయణరెడ్డి,end_to_end\tem_04272_00428634734.wav
18,tem_04771_01991432192,పావు మైలులో,end_to_end\tem_04771_01991432192.wav
19,tem_06359_01531983402,పితోర్ ఘర్ నుండి ఇది పది కిలో మీటర్ల దూరం కలదు,end_to_end\tem_06359_01531983402.wav
20,tem_00113_01558669646,అయితే అది సిబ్బంది కొరతను ఎదుర్కొంది,end_to_end\tem_00113_01558669646.wav
21,tem_06359_00517155968,వృషణాలు ఇందుకొ తోడ్పడతాయి,end_to_end\tem_06359_00517155968.wav
22,tem_07220_00483682022,కెసీ మీడియా ప్రధాన ఆకర్షణగా మారారు,end_to_end\tem_07220_00483682022.wav
23,tem_08680_01559756401,అద్బుతం కాకపోయినా ఓకే అనిపిస్తుంది\n,end_to_end\tem_08680_01559756401.wav
24,tem_00974_00280931399,రుచి కూడా వికారం పుట్టిచ్చినట్లుండును,end_to_end\tem_00974_00280931399.wav
25,tem_02769_00296474841,దీంతో ఎవరినీ కలిసేది కాదామె,end_to_end\tem_02769_00296474841.wav
26,tem_07220_00400840482,భారతి మాస సంచిక,end_to_end\tem_07220_00400840482.wav
27,tem_02769_00301408224,నానీ కవితారూపం ఆత్మీయమైంది,end_to_end\tem_02769_00301408224.wav
28,tem_07220_01765851956,అడవిజంతువులతో పాటే సంచరిస్తూ,end_to_end\tem_07220_01765851956.wav
29,tem_05425_01030728048,ఇది కేవలం సారాంశం మాత్రమే పూర్తి పాఠం కోసం లైసెన్సు పాఠం చూడండి,end_to_end\tem_05425_01030728048.wav
30,tem_08377_01929069671,శ్రీ రామ నవమి కథ\n,end_to_end\tem_08377_01929069671.wav
31,tem_02769_01752319773,ఇది నగరానికి పడమటి వైపున ఉంది,end_to_end\tem_02769_01752319773.wav
32,tem_06359_00312043864,సూర్యగ్రహణమునకు సూర్యుని గ్రహించుట,end_to_end\tem_06359_00312043864.wav
33,tem_09222_01106409810,తాను చనిపోయితినా వేశ్యలందును పాలవించెదరు,end_to_end\tem_09222_01106409810.wav
34,tem_09222_00733859292,మధ్యప్రదేశ్ లోని ఒక గ్రామంలో ప్రాథమిక పాఠశాల,end_to_end\tem_09222_00733859292.wav
35,tem_04771_01654641202,నాలుగు వందల అడుగుల్లో,end_to_end\tem_04771_01654641202.wav
36,tem_03338_01483230363,త్రిగర్త దేశాధీసుడు ఉచితముగా చెప్పాడు,end_to_end\tem_03338_01483230363.wav
37,tem_03338_01025904842,శ్యామలను తన ఇంటికి తీసుకెళతాడు,end_to_end\tem_03338_01025904842.wav
38,tem_03338_01470131381,రవితనికెళ్ళ భరణి,end_to_end\tem_03338_01470131381.wav
39,tem_04272_00657356298,మన రాష్ట్రంలో ఇది ఒక్కటే వ్యవసాయ ఇంజనీరింగ్ కళాశాల,end_to_end\tem_04272_00657356298.wav
40,tem_02812_00294653918,అంటే ఏమిటి ఎలా వాడుతారు వాటిలో ప్రత్యేకత కొద్ది ఉదాహరణలు వగైరా,end_to_end\tem_02812_00294653918.wav
41,tem_03338_01941096516,వీటి వయస్సు ముప్పై ఏళ్ళు,end_to_end\tem_03338_01941096516.wav
42,tem_06359_01971913836,వాటిని మీకు చెప్తాను,end_to_end\tem_06359_01971913836.wav
43,tem_04272_01872258983,దీనిని వాడుకలో ఎక్కువగా జైలు అంటారు,end_to_end\tem_04272_01872258983.wav
44,tem_08680_01001425465,విశాఖపట్నం మండలం ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని విశాఖపట్నం జిల్లాకు చెందిన ఒక మండలము\n,end_to_end\tem_08680_01001425465.wav
45,tem_03338_00681547785,గ్రామ విస్తీర్ణం తొమ్మిది వందలు నలభై హెక్టారులు,end_to_end\tem_03338_00681547785.wav
46,tem_02812_00668357133,సీలోనే తరగతినే ప్రథమ స్థానంలో నిలిచారు,end_to_end\tem_02812_00668357133.wav
47,tem_04272_01056506970,అలాగే బొమ్మ లైసెన్సు వివరాలు కూడా తెలుపండి,end_to_end\tem_04272_01056506970.wav
48,tem_08377_00915685977,చిన్నప్పటి నుంచి సంగీతమంటే తనకి ఆసక్తి\n,end_to_end\tem_08377_00915685977.wav
49,tem_09222_00066407673,టెస్టులలో అతని అత్యధిక స్కోరు డెబ్బై మూడు నాటౌట్\n,end_to_end\tem_09222_00066407673.wav
50,tem_05479_00587647738,ఈ గ్రామానికి సరి అయిన రవాణా సౌకర్యాలు లేవు\n,end_to_end\tem_05479_00587647738.wav
51,tem_09525_00669479992,లండన్ వెయ్యి తొమ్మిది వందల అరవై ఒకటి పే,end_to_end\tem_09525_00669479992.wav
52,tem_00682_01800107121,ఆ లక్ష్యంగా రచనా వ్యాసంగాన్ని ఆరంభించారు,end_to_end\tem_00682_01800107121.wav
53,tem_00682_01911958322,సరస్సు మరియు చెరువు తేడా ఏమిటి,end_to_end\tem_00682_01911958322.wav
54,tem_09525_01022436350,హేమవతి జలాశయం రిజర్వాయర్\n,end_to_end\tem_09525_01022436350.wav
55,tem_05479_01360206388,ముందుగా ద్రౌపదికి యోగసమాధి సడలింది\n,end_to_end\tem_05479_01360206388.wav
56,tem_00682_00391156956,అయినా ఏ మాత్రం ప్రతిస్పందన రాలేదు,end_to_end\tem_00682_00391156956.wav
57,tem_07220_01970083157,ధ్వజస్థంభం నీడ ఇళ్ళమీద పడకూడదు,end_to_end\tem_07220_01970083157.wav
58,tem_06359_02095984398,అందులో ఎక్కువమంది ఐర్లండుకు చెందినవారు,end_to_end\tem_06359_02095984398.wav
59,tem_00974_00409700007,చలన చిత్రముల చట్టము,end_to_end\tem_00974_00409700007.wav
60,tem_05425_00692767676,సంస్కృతం హిందూ బౌద్ధ మరియు జైన మతాలకు ప్రధాన భాష,end_to_end\tem_05425_00692767676.wav
61,tem_03338_00187986586,ఇది రెండు వరుసలలో దీపాలను కలిగి ఉంటుంది,end_to_end\tem_03338_00187986586.wav
62,tem_08680_01130710850,నాకు రుచికరంగా వంటలు చేయడం వచ్చు కదా\n,end_to_end\tem_08680_01130710850.wav
63,tem_09015_01138511866,ఆయనకు ఒక సోదరి మరియు ముగ్గురు సోదరులు,end_to_end\tem_09015_01138511866.wav
64,tem_04272_01256402520,పాలకొల్లు పేజీకి వెళ్ళి పైన ఉన్న మార్చు పైన క్లిక్ చేసి సమాచారం చేర్చవచ్చు,end_to_end\tem_04272_01256402520.wav
65,tem_05425_01311719749,ఈరోజు ఈయన మరణ వార్త ఈనాడు లో వచ్చింది,end_to_end\tem_05425_01311719749.wav
66,tem_03338_00343161536,పలు పార్లమెంటరీ కమిటీలలో కూడా పనిచేశాడు,end_to_end\tem_03338_00343161536.wav
67,tem_08680_00321962469,సావిత్రి కూడా నారదునికి నమస్కరించింది\n,end_to_end\tem_08680_00321962469.wav
68,tem_09525_01591815727,వాటి లింకుల కోసం ఏనుగు అయోమయ నివృత్తి చూడండి\n,end_to_end\tem_09525_01591815727.wav
69,tem_00682_01191966987,పంచాయత్ రాజ్ మంత్రిత్వ శాఖ వెబ్‌సైటులో వరంగల్ జిల్లా తాలూకాల వివరాలు,end_to_end\tem_00682_01191966987.wav
70,tem_00974_01149624936,వీటన్నిటి గురించి తరువాత నేర్చుకుందాం,end_to_end\tem_00974_01149624936.wav
71,tem_00682_01394503445,ఆ వ్యాసం పై కృషి చేసిన వారి వివరాలు,end_to_end\tem_00682_01394503445.wav
72,tem_09222_00694270015,పిన్ కోడ్ అయిదు వందల ముప్పై మూడు రెండు వందల అరవై మూడు,end_to_end\tem_09222_00694270015.wav
73,tem_04771_01662532024,వాయువ్యం వైపుగా,end_to_end\tem_04771_01662532024.wav
74,tem_00974_01957484368,పిన్ కోడ్ అయిదు లక్షలు తొమ్మిది వెలు రెండు వందలు రెండు,end_to_end\tem_00974_01957484368.wav
75,tem_08680_00388947726,కావున దీనిని తెల్లమద్ది అంటారు\n,end_to_end\tem_08680_00388947726.wav
76,tem_04272_00124637762,ఊరిలో పరిశ్రమల పరంగా మంచి అభివృద్ది కలదు,end_to_end\tem_04272_00124637762.wav
77,tem_06359_00453049957,ఈ సందర్భంలో ఒక కథ చెప్తాను,end_to_end\tem_06359_00453049957.wav
78,tem_03338_01250167855,అలాంటి సందర్బములొ చేప్పేది ఈ జాతీయము,end_to_end\tem_03338_01250167855.wav
79,tem_07220_01472160283,వీరిలో ప్రసిద్ధుడు ఖారవేలుడు,end_to_end\tem_07220_01472160283.wav
80,tem_05425_00014159320,కన్యాశుల్కం నాటకం గురజాడ అప్పారావు పంతులు రాసిన సాంఘిక నాటకం,end_to_end\tem_05425_00014159320.wav
81,tem_09584_00477354479,అతన్ని తన సహాయకునిగా పెట్టుకున్నారు,end_to_end\tem_09584_00477354479.wav
82,tem_09015_01547518375,పై నుండి సువిశాలమైన ప్రాంతం కనబడుతుంది,end_to_end\tem_09015_01547518375.wav
83,tem_08377_00606030132,రంగుల పట్టిక అయితే పేజీ కూడా అలాగే బాగుంటుంది\n,end_to_end\tem_08377_00606030132.wav
84,tem_02769_00629677581,పర్యాటక ఆకర్షణలలో జాంగ్ జలపాతం ఒకటి,end_to_end\tem_02769_00629677581.wav
85,tem_04771_00583583696,రాంప్‌కు స్వల్పంగా కుడివైపుకు వెళ్ళండి,end_to_end\tem_04771_00583583696.wav
86,tem_04272_01378706052,ఈ గ్రామంలో ఉత్పత్తి చేసిన పళ్ళు కూరగాయలు హైదరాబాదుకు సరఫరా చేస్తారు,end_to_end\tem_04272_01378706052.wav
87,tem_05479_00002904256,ఏమయినా సందేహాలుంటే తప్పక నా చర్చాపేజీలో రాయండి\n,end_to_end\tem_05479_00002904256.wav
88,tem_09222_02083044266,ప్రారంభ రోమన్ సైన్యం,end_to_end\tem_09222_02083044266.wav
89,tem_08680_00619659586,కవిత్వం కూడా రాశారు,end_to_end\tem_08680_00619659586.wav
90,tem_09015_00459612121,తులసి అనే పాప ఒక ఆస్తిపరుని కుమార్తె,end_to_end\tem_09015_00459612121.wav
91,tem_05479_02008461610,ఈయన తల్లితండ్రులు సింగమ మరియు మమనారాయణ\n,end_to_end\tem_05479_02008461610.wav
